Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1099716954,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099716966,00000107,false,Rx,1,8,1D,00,FE,EC,81,3A,4C,7A,
1099717242,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099717253,000003E5,false,Rx,1,8,2F,1A,00,00,00,00,00,00,
1099717533,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099717544,00000394,false,Rx,1,8,76,48,00,06,00,00,00,00,
1099717820,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099717830,000003DB,false,Rx,1,8,50,10,00,00,07,00,01,A6,
1099743224,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099743235,00000658,false,Rx,1,8,23,0F,04,00,00,00,00,00,
1099743452,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099743462,00000107,false,Rx,1,8,1D,00,FE,EC,01,3B,6C,7A,
1099743738,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099743759,0000032A,false,Rx,1,8,49,0E,00,00,00,02,00,00,
1099744026,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099744037,000000FD,false,Rx,1,8,F6,E5,3F,80,DD,15,00,00,
1099744314,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099744325,00000101,false,Rx,1,8,47,05,75,10,82,6F,41,00,
1099744607,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099744618,000003B5,false,Rx,1,8,87,FE,00,28,1C,7D,18,00,
1099744890,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099744901,1B000046,true,Rx,1,8,46,00,04,01,01,00,00,00,
1099745178,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099745189,0000030B,false,Rx,1,8,10,03,00,3B,08,00,B8,00,
1099770653,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099770664,0000012B,false,Rx,1,8,BC,18,80,10,00,00,00,00,
1099770917,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099770928,00000663,false,Rx,1,8,60,28,20,0E,2A,9A,16,00,
1099771205,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099771216,0000048B,false,Rx,1,8,00,00,00,00,00,80,03,00,
1099771498,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099771509,000000FD,false,Rx,1,8,E4,E6,3F,80,DD,15,00,00,
1099771781,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099771801,00000101,false,Rx,1,8,EB,06,75,10,82,6F,41,00,
1099772069,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099772081,0000031B,false,Rx,1,8,E5,03,00,21,00,56,15,00,
1099772359,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099772370,000005A0,false,Rx,1,5,4A,FD,83,20,78,00,00,00,
1099772645,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
